DevelopmentStatus,DevelopmentPriceRange,DevelopmentName,DevelopmentDescription,BuilderName,PrimaryListingAddress,DevelopmentCityorNeighborhood,DevelopmentURL,DevelopmentImageURL,DevelopmentVideoURL(ifapplicable),BuilderSlugURL(forNanSite),BuilderSlogan,BuilderDescription,BuilderVideoURL,SingleDevelopmentBedrooms,SingleDevelopmentBathrooms,SingleDevelopmentTotalAreainSqft,SingleDevelopmentStatus,SingleDevelopmentAddress,SingleDevelopmentCity,SingleDevelopmentZip,SingleDevelopmentStartingPricePoint,SingleDevelopmentImage1URL,SingleDevelopmentImage2URL,SingleDevelopmentImage3URL,SingleDevelopmentImage4URL,SingleDevelopmentImage5URL,SingleDevelopmentImage6URL,SingleDevelopmentListingAgent,SingleDevelopmentAgentTitle,SingleDevelopmentAgentImageURL,SingleDevelopmentURLSlug,SingleDevelopmentLat,SingleDevelopmentLong
-- REMOVE,$500k - $1MM,Peden Square,"Exceptional construction by Brookstone Homes, offering an open floor plan w/abundant natural lighting, high ceilings, hardwood flooring & high-end finishes. The first floor offers Marrazi porcelain tile floors, a bedroom w/a walk-in closet, access to the backyard space, a full bath w/granite counters & a glass/tile shower w/an inlaid stone floor...",Brookstone Homes,1612  Hazel Street,Peden Square,https://www.nanproperties.com/our-developments-page/Hazel-Street,https://photos.harstatic.com/180294881/hr/img-1.jpeg,,brookstone-homes,,,,,,,,,,,,,,,,,,,,,peden-square,,
Coming Soon,,Nichols Street,2 Home development,,5007 & 5009 Nichols Street,,,,,,,,,,,,,,,,,,,,,,,,,,nichols-street,,
Coming Soon,,Tidwell Estates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tidwell-estates,,
Coming Soon,$200k - $500k,Golden Forest,,,5007 & 5009 Golden Forest ,Rosslyn Heights,,https://photos.harstatic.com/187385625/hr/img-1.jpeg?ts=2020-07-10T15:12:38.990,,,,,,,,,,,,,,,,,,,,,,,golden-forest,,
Current,$500k - $1MM,CHENEVERT MANOR,"Located in the heart of the Museum District, IKLO homes brings you the perfect combination between indoor & outdoor living. First floor offers an open concept floor plan with high end appliances, waterfall edge island & a great room perfect for entertaining. Second floor hosts a large master bedroom, spa inspired bathroom & oversized master closet! All secondary bedrooms have en-suite bathrooms & generous closets. Just off of your third floor game room, you have both a covered outdoor patio, as well as an extended patio with glass railings. A spiral staircase leads to your designated fourth floor terrace with breathtaking Downtown views. Home is currently under construction and CAN BE CUSTOMIZED!",IKLO Homes,"5206, 5208 CHENEVERT, RICE/MUSEUM DISTRICT",Museum District,https://www.nanproperties.com/our-developments-page/Chenevert-Manor,https://i.ibb.co/Rb59gsZ/preview-full-3.jpg,,iklo-homes,,,,4,5,3603,Active,5206 Chenevert St.,Houston,77004,950k,https://photos.harstatic.com/176341663/hr/img-1.jpeg,https://photos.harstatic.com/176341663/hr/img-3.jpeg,https://photos.harstatic.com/176341663/hr/img-9.jpeg,https://i.ibb.co/BN5PntG/img-11.jpg,https://photos.harstatic.com/176341663/hr/img-14.jpeg,https://i.ibb.co/qDX0r6g/img-22.jpg,Thomas Eureste,Realtor Associate,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/assets/uploads/agent/photo/62753/optimized_a4591f6ba9714cf68acbfeb3ae80f79f.jpeg,chenevert-manor,29.7241329,-95.3810523
Current,$200k - $500k,Fulton Station,"Owning a smart home has become one of the most significant new trends in today’s tech-driven society. Home automation not only adds that ""wow factor"" to your living experience but also makes life a lot more convenient and more fun. That’s why we’re happy to present Lennar’s new venture with Amazon Alexa...",Lennar Homes,"202 Fulton St., Independence Heights",Independence Heights,https://www.nanproperties.com/our-developments-page/fulton-station,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200393/Fulton-Station.jpg,https://www.youtube.com/watch?v=SQvB9KmfBII,lennar-homes,We build new dream homes.,"Lennar is the leading builder of quality new homes in the most desirable real estate markets across the nation. Our home plans demonstrate our commitment to our customers by showcasing outstanding new home construction and a dedication to excellence in homebuilding. Every new home for sale offers the simplicity of included options featured in our model homes and inventory homes. The prices of our homes, included features and available locations are subject to change without notice. Stated dimensions and square footage are approximate and should not be used a representation of the home's precise or actual size. Please see the actual purchase agreement for additional information, disclosures and disclaimers relating to the home and it's features.",SQvB9KmfBII,,,,,,,,,,,,,,,,,,fulton-station,,
Current,$200k - $500k,Upland Preserve,"Picturesque view to beautiful water feature with fountain & walking trail. Viewable from the first-floor patio deck & 3rd-floor balcony. Best location in this small gated community. This 3 story home, 3 Bedrooms, 3.5 baths, 2 car garage. family room, dining room & study. 6-panel...",Lennar Homes,"1410 Upland Dr., Spring Branch",Spring Branch,https://www.nanproperties.com/our-developments-page/upland-preserve,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200400/Upland-Preserve.jpg,https://www.youtube.com/watch?v=SQvB9KmfBII,lennar-homes,We build new dream homes.,"Lennar is the leading builder of quality new homes in the most desirable real estate markets across the nation. Our home plans demonstrate our commitment to our customers by showcasing outstanding new home construction and a dedication to excellence in homebuilding. Every new home for sale offers the simplicity of included options featured in our model homes and inventory homes. The prices of our homes, included features and available locations are subject to change without notice. Stated dimensions and square footage are approximate and should not be used a representation of the home's precise or actual size. Please see the actual purchase agreement for additional information, disclosures and disclaimers relating to the home and it's features.",SQvB9KmfBII,,,,,,,,,,,,,,,,,,upland-preserve,,
Current,$200k - $500k,Chapel Heights,New construction home by Lennar ready June 2019! This home in the gated retreat of Chapel Heights is tucked away in the back of the community and features open concept living and plenty of large windows and tall entryway ceiling offering lots of natural light. Includes...,Lennar Homes,"5106 Chapel Heights Dr., Independence Heights",Independence Heights,https://www.nanproperties.com/our-developments-page/chapel-heights,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200391/Chapel-Heights.jpg,https://www.youtube.com/watch?v=SQvB9KmfBII,lennar-homes,We build new dream homes.,"Lennar is the leading builder of quality new homes in the most desirable real estate markets across the nation. Our home plans demonstrate our commitment to our customers by showcasing outstanding new home construction and a dedication to excellence in homebuilding. Every new home for sale offers the simplicity of included options featured in our model homes and inventory homes. The prices of our homes, included features and available locations are subject to change without notice. Stated dimensions and square footage are approximate and should not be used a representation of the home's precise or actual size. Please see the actual purchase agreement for additional information, disclosures and disclaimers relating to the home and it's features.",SQvB9KmfBII,,,,,,,,,,,,,,,,,,chapel-heights,,
Current,$200k - $500k,DEL NORTE HEIGHTS,"Welcome home to Del Norte Heights! Ideally located in a gated community just North of Oak Forest and with easy access to 610, I-45, and I-10, this is city living at its best. Choose from three different floor plans starting at $299,990. Interior features and finishes include high ceilings, Quartz countertops, stainless steel appliance packages, smart technology, energy efficiency, and much more! All homes are freestanding, two story houses with their own private back yards and zoned to Houston ISD. Live in brand new construction, move-in ready homes while being just minutes away from The Heights, restaurants, coffee shops, shopping and more.",--,"5611, 5609, 5607 CALENDULA, OAK FOREST",Oak Forest,https://www.nanproperties.com/our-developments-page/del-norte-heights,https://i.ibb.co/9hFRpY3/preview-full-1.jpg,,,,,,,,,,,,,,,,,,,,,,,del-norte-heights,,
Current,$200k - $500k,Beyond Metronome,"Looking for a new home in Beyond Metronome? It is a great time to buy real estate in Beyond Metronome and our site is a great place to begin your search. You can check out Beyond Metronome schools, market statistics, the latest listings and more. Whether you are a first-time home buyer or you are already familiar with the home buying process, you can be assured that you have the best tools and the perfect agent available to help with your Beyond Metronome home search. Beyond Metronome is conveniently located in Spring Branch. Currently on the market is 2071 Sherwood Forest, a two story, 1,793 Sqft. single-family home with a palatial open layout that has an abundance of natural light. The modern kitchen overlooks the living room, and is complete with quartz countertops, sleek new appliances, bar seating and a charming farmhouse style sink. All bedrooms contain vaulted ceilings and spacious walk-in closets. The stunning master bath has jack and jill sinks and a luxurious glass standing shower paired with a pictiresque soaking tub. Other amenities include a private fenced in community, engineered wooden floors in the living areas, modern lighting fixtures throughout the home and more!",--,"2063, 2071,2059,2057,2055,2053, 2051,2049, 2047 Sherwood Forest",Beyond Metronome,,https://photos.harstatic.com/182510009/hr/img-1.jpeg,,,,,,3,3,1723,Active,2071 Sherwood Forest St,Houston,77043,,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Metronome/244713/content_img-1__2_.jpeg,https://photos.harstatic.com/187534683/hr/img-2.jpeg?ts=2020-07-15T09:32:59.890,https://photos.harstatic.com/187534683/hr/img-3.jpeg?ts=2020-07-15T09:33:00.233,https://photos.harstatic.com/187534683/hr/img-4.jpeg?ts=2020-07-15T09:33:00.717,https://photos.harstatic.com/187534683/hr/img-6.jpeg?ts=2020-07-15T09:33:01.360,https://photos.harstatic.com/187534683/hr/img-14.jpeg?ts=2020-07-15T09:33:04.323,Natalie Garza,Realtor Associate,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/assets/uploads/agent/photo/62755/optimized_4f5cd8079a060617838a7594c4a34eef.jpg,beyond-metronome,29.8063979,-95.5748253
